city;country;cityname;countryname;pop;gdp;lat;long;kgclzone;kgclzone1;kgclzone2;Continent;Region;hwclass;hwscore;MeanST;Median;IQR;Range;trend
cnst.rom9416;rom9416;Constanta;Romania;319266;1659;44.1767161;28.6507598;Cfa;C;Cf;Europe;Eastern Europe;2;15;20.9;21.5;5.4;24.7;0.69
crav.rom9416;rom9416;Craiova;Romania;307193;1659;44.3190159;23.7965614;Cfa;C;Cf;Europe;Eastern Europe;2;15;20.4;20.7;5.9;25.4;0.41
galt.rom9416;rom9416;Galati;Romania;306046;1659;45.4338215;28.0549395;Cfa;C;Cf;Europe;Eastern Europe;2;15;20.8;21.3;5.9;26.7;0.79
iasi.rom9416;rom9416;Iasi;Romania;357867;1659;47.1615341;27.5836142;Dfb;D;Df;Europe;Eastern Europe;2;15;19.5;19.9;5.9;25.5;0.71
tmsr.rom9416;rom9416;Timisoara;Romania;333825;1659;45.7538355;21.2257474;Cfb;C;Cf;Europe;Eastern Europe;2;15;19.8;20.1;5.7;21.9;0.59
blgr.srb9521;srb9521;Belgrade;Serbia;1369000;914;44.787;20.457;Cfa;C;Cf;Europe;Eastern Europe;2;17;21.2;21.5;6.2;26.3;0.72
acrn.spa9014;spa9014;A Coruna;Spain;244000;14749;43.3709703;-8.3959425;Csb;C;Cs;Europe;Southern Europe;3;29;18.2;18.4;3.1;19.5;0.29
bilb.spa9014;spa9014;Bilbao;Spain;345000;14749;43.2630018;-2.9350039;Cfb;C;Cf;Europe;Southern Europe;3;29;19.1;19.1;4.4;23.8;0.31
brcl.spa9014;spa9014;Barcelona;Spain;1605000;14749;41.3828939;2.1774322;Csa;C;Cs;Europe;Southern Europe;3;29;21.7;22.4;5.1;22.1;0.81
crdb.spa9014;spa9014;Cordoba;Spain;327000;14749;37.8845813;-4.7760138;Csa;C;Cs;Europe;Southern Europe;3;29;24.9;25.6;5.5;24.1;0.38
malg.spa9014;spa9014;Malaga;Spain;569000;14749;36.7213028;-4.4216366;Csa;C;Cs;Europe;Southern Europe;3;29;23.8;24.1;4.3;20.9;0.63
mdrd.spa9014;spa9014;Madrid;Spain;3142000;14749;40.4167047;-3.7035825;Csa;C;Cs;Europe;Southern Europe;3;29;22.1;23;6.8;25.9;0.36
murc.spa9014;spa9014;Murcia;Spain;440000;14749;37.9923795;-1.1305431;BSk;B;BS;Europe;Southern Europe;3;29;24.7;25.6;4.9;24.9;0.6
svll.spa9014;spa9014;Sevilla;Spain;694000;14749;37.3886303;-5.9953403;Csa;C;Cs;Europe;Southern Europe;3;29;25.6;26.2;5.4;23.8;0.44
told.spa9014;spa9014;Toledo;Spain;280000;14749;39.8560679;-4.0239568;Csa;C;Cs;Europe;Southern Europe;3;29;23.1;24.1;6.8;27.4;0.34
vlnc.spa9014;spa9014;Valencia;Spain;786000;14749;39.4697065;-0.3763353;Csa;C;Cs;Europe;Southern Europe;3;29;23.5;24.2;4.6;23;0.22
zrgz.spa9014;spa9014;Zaragoza;Spain;665000;14749;41.6521342;-0.8809428;BSk;B;BS;Europe;Southern Europe;3;29;22.4;22.9;6;25.5;0.4
gthn.swe9016;swe9016;Gothenburg;Sweden;570000;29624;57.7072326;11.9670171;Cfb;C;Cf;Europe;Northern Europe;1;8;15.5;15.6;4.7;22.7;0.39
malm.swe9016;swe9016;Malmo;Sweden;328000;29624;55.6052931;13.0001566;Cfb;C;Cf;Europe;Northern Europe;1;8;15.5;15.7;4.5;22.1;0.24
stck.swe9016;swe9016;Stockholm;Sweden;1665000;29624;59.3251172;18.0710935;Dfb;D;Df;Europe;Northern Europe;1;8;15.1;15.4;5.6;25.4;0.42
basl.sui9513;sui9513;Basel;Switzerland;169000;38864;47.5581077;7.5878261;Cfb;C;Cf;Europe;Western Europe;2;17;17.5;17.4;5.5;22.6;0.4
bern.sui9513;sui9513;Bern;Switzerland;130000;38864;46.9482713;7.4514512;Cfb;C;Cf;Europe;Western Europe;2;17;16.2;16.4;5.6;22.3;0.22
genv.sui9513;sui9513;Geneve;Switzerland;195000;38864;46.2017559;6.1466014;Cfb;C;Cf;Europe;Western Europe;2;17;17.9;17.9;5.7;23.3;0.14
lsnn.sui9513;sui9513;Lausanne;Switzerland;134000;38864;46.5218269;6.6327025;Cfb;C;Cf;Europe;Western Europe;2;17;17.9;18.1;5.4;23;0.21
lugn.sui9513;sui9513;Lugano;Switzerland;64000;38864;46.0050102;8.9520281;Dfc;D;Df;Europe;Western Europe;2;17;19.6;20;5;19.8;0.75
lzrn.sui9513;sui9513;Luzern;Switzerland;81000;38864;47.0505452;8.3054682;Cfb;C;Cf;Europe;Western Europe;2;17;16.8;16.9;5.6;22.1;0.35
